id,collection,dspace.entity.type,dc.title[en],dc.title[fr],nrcan.area.source
+,123456789s/18,Area,St. Andrew's Rectory National Historic Site of Canada,Lieu historique national du Canada du Presbytère-St. Andrew's,geo names db
+,123456789s/18,Area,Bellefeuille Hill,Côte Bellefeuille,geo names db
+,123456789s/18,Area,Major's Hill Park,Parc Major's Hill,geo names db
+,123456789s/18,Area,Joir River,Rivière Joir,geo names db
+,123456789s/18,Area,Belle River,Belle Rivière,geo names db
+,123456789s/18,Area,Big Creek,Grand Crique,geo names db
+,123456789s/18,Area,Riel House National Historic Site of Canada,Lieu historique national du Canada de la Maison-Riel,geo names db
+,123456789s/18,Area,Borden Lake,Lac Borden,geo names db
+,123456789s/18,Area,Fraser River,Fleuve Fraser,geo names db
+,123456789s/18,Area,La Coupe Dry Dock National Historic Site of Canada,Lieu historique national du Canada de la Cale-Sèche-de-La Coupe,geo names db
+,123456789s/18,Area,Riding Mountain Park East Gate Registration Complex National Historic Site of Canada,Lieu historique national du Canada du Centre-d'Inscription-de-l'Entrée-Est-du-Parc-du-Mont-Riding,geo names db
+,123456789s/18,Area,Butternut Creek,Ruisseau Butternut,geo names db
+,123456789s/18,Area,Cachege Lake,Lac Cachege,geo names db
+,123456789s/18,Area,Cache Lake,Lac Caché,geo names db
+,123456789s/18,Area,Cahill Lake,Lac Cahill,geo names db
+,123456789s/18,Area,Caledonia Creek,Ruisseau Caledonia,geo names db
+,123456789s/18,Area,Caledonia Springs,Les Sources,geo names db
+,123456789s/18,Area,Prince of Wales Fort National Historic Site of Canada,Lieu historique national du Canada du Fort-Prince-de-Galles,geo names db
+,123456789s/18,Area,Cameron Lake,Lac Cameron,geo names db
+,123456789s/18,Area,Canard River,Rivière aux Canards,geo names db
+,123456789s/18,Area,Casey Mountain,Montagne Casey,geo names db
+,123456789s/18,Area,Casgrain Lake,Lac Casgrain,geo names db
+,123456789s/18,Area,Cedar Point,Pointe-aux-Cèdres,geo names db
+,123456789s/18,Area,Lower Fort Garry National Historic Site of Canada,Lieu historique national du Canada de Lower Fort Garry,geo names db
+,123456789s/18,Area,Chapleau River,Rivière Chapleau,geo names db
+,123456789s/18,Area,Chartrand Creek,Crique à Chartrand,geo names db
+,123456789s/18,Area,Chartrand Lake,Lac Chartrand,geo names db
+,123456789s/18,Area,Riding Mountain National Park of Canada,Parc national du Canada du Mont-Riding,geo names db
+,123456789s/18,Area,Chartrand Lake,Lac Chartrand,geo names db
+,123456789s/18,Area,Chebogomog Lake,Lac Chebogan,geo names db
+,123456789s/18,Area,Wapusk National Park of Canada,Parc national du Canada Wapusk,geo names db
+,123456789s/18,Area,Christian Island,île aux Chrétiens,geo names db
+,123456789s/18,Area,Commando Lake,Lac Commando,geo names db
+,123456789s/18,Area,Como Lake,Lac Como,geo names db
+,123456789s/18,Area,Canadian Forces Base Moose Jaw,Base des Forces canadiennes Moose Jaw,geo names db
+,123456789s/18,Area,Credit River,Rivière Credit,geo names db
+,123456789s/18,Area,Detroit River,Rivière Dtroit,geo names db
+,123456789s/18,Area,Kaibuskong Bay,Baie Kaibuskong,geo names db
+,123456789s/18,Area,Don River,Rivière Don,geo names db
+,123456789s/18,Area,Edwards Creek,Crique douard,geo names db
+,123456789s/18,Area,Eighteen Mile Island,île des Dix-Huit Milles,geo names db
+,123456789s/18,Area,Columbia River,Fleuve Columbia,geo names db
+,123456789s/18,Area,Emerald Lake,Lac Emerald,geo names db
+,123456789s/18,Area,French River,Rivière des Franais,geo names db
